Deal Type,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
M&A,1/30/2012,PBY US,Pep Boys-Manny Moe & Jack/The,671468Z US,1009.17,Cash,Terminated,5/29/2012,15.0000/sh.,"Consumer, Cyclical"
M&A,12/7/2015,WIBC US,Wilshire Bancorp Inc,HOPE US,1008.2,Stock,Completed,8/1/2016,N/A,Financial
M&A,7/27/2016,EPIQ US,Epiq Systems Inc,,1005.47,Cash,Completed,10/3/2016,16.5000/sh.,Technology
M&A,8/31/2015,KANG US,iKang Healthcare Group Inc,,1003.52,Cash,Terminated,6/7/2016,17.8000/sh.,"Consumer, Non-cyclical"
M&A,6/7/2016,LDRH US,LDR Holding Corp,ZBH US,1002.2,Cash,Completed,7/14/2016,37.0000/sh.,"Consumer, Non-cyclical"
M&A,1/17/2012,WRK-U CN,Whiterock Real Estate Investment Trust,D-U CN,997.35,Cash or Stock,Completed,3/6/2012,16.2500/sh.,Financial
M&A,7/7/2010,UTS CN,UTS Energy Corp,FP FP,995.16,Cash,Completed,10/7/2010,3.0800/sh.,Energy
M&A,6/23/2014,CENT US,Central Garden & Pet Co,HRG US,992,Cash,Terminated,10/14/2014,10.0000/sh.,"Consumer, Non-cyclical"
M&A,1/24/2014,BTOW3 BZ,B2W Cia Digital,,990.72,Cash,Completed,8/13/2014,25.0000/sh.,Communications
M&A,7/25/2017,MSFG US,MainSource Financial Group Inc,FFBC US,988.96,Stock,Pending,6/30/2018,N/A,Financial
M&A,8/15/2017,SONG NO,Songa Offshore,RIG US,987.52,Cash,Pending,1/23/2018,47.5000/sh.,Energy
M&A,4/29/2013,CPTS US,Bayer Essure Inc,BAYN GR,986.34,Cash,Completed,6/6/2013,31.0000/sh.,"Consumer, Non-cyclical"
M&A,11/16/2017,AFAM US,Almost Family Inc,LHCG US,985.23,Stock,Pending,3/31/2018,N/A,"Consumer, Non-cyclical"
M&A,9/19/2012,CGX AU,CGA Mining Ltd,BTO CN,981.11,Stock,Completed,2/6/2013,N/A,Basic Materials
M&A,9/8/2014,MGAM US,Everi Games Holding Inc,EVRI US,980.89,Cash,Completed,12/22/2014,36.5000/sh.,"Consumer, Cyclical"
M&A,6/15/2015,NKA US,Niska Gas Storage Partners LLC,BIP US,978.92,Cash,Completed,7/19/2016,4.2250/sh.,Energy
M&A,11/17/2017,JASO US,JA Solar Holdings Co Ltd,,976.71,Cash,Pending,3/31/2018,7.5500/sh.,Energy
M&A,9/10/2015,PGI US,Premiere Global Services Inc,8210273Z US,976.47,Cash,Completed,12/9/2015,14.0000/sh.,Communications
M&A,4/29/2011,PTTCH TB,PTT Chemical PCL,PTT TB,974.31,Cash,Completed,5/23/2011,164.5000/sh.,Basic Materials
M&A,12/21/2010,MATK US,Martek Biosciences Corp,DSM NA,973.39,Cash,Completed,2/28/2011,31.5000/sh.,"Consumer, Non-cyclical"
M&A,9/7/2012,GW CN,Garda World Security Corp,,970.75,Cash,Completed,11/16/2012,12.0000/sh.,"Consumer, Non-cyclical"
M&A,2/22/2011,CLDA US,Clinical Data Inc,FRX US,966.33,Cash,Completed,4/14/2011,30.0000/sh.,"Consumer, Non-cyclical"
M&A,3/21/2010,CXG US,CNX Gas Corp,CNX US,963.31,Cash,Completed,6/1/2010,38.2500/sh.,Energy
M&A,12/7/2015,BRS AU,Broadspectrum Ltd,FER SM,962.74,Cash,Completed,6/28/2016,1.5000/sh.,Industrial
M&A,12/2/2016,VASC US,Vascular Solutions Inc,TFX US,962.63,Cash,Completed,2/21/2017,56.0000/sh.,"Consumer, Non-cyclical"
M&A,7/13/2011,7221 JP,Toyota Auto Body Co Ltd,7203 JP,960.05,Stock,Completed,12/28/2011,N/A,"Consumer, Cyclical"
M&A,10/8/2012,TPCG US,TPC Group Inc,IOSP US,957.93,Cash,Terminated,12/3/2012,47.5000/sh.,Basic Materials
M&A,3/24/2015,KFX US,Kofax Ltd,LXK US,954.47,Cash,Completed,5/22/2015,11.0000/sh.,Technology
M&A,3/7/2017,GLBL US,TerraForm Global Inc,BAM/A CN,954.09,Cash,Completed,12/29/2017,5.1000/sh.,Energy
M&A,10/15/2015,MON FP,Montupet SAS,LNR CN,953.62,Cash,Completed,2/25/2016,71.5300/sh.,"Consumer, Cyclical"
M&A,6/15/2016,QLGC US,QLogic Corp,CAVM US,952.89,Cash and Stock,Completed,8/17/2016,11.0000/sh.,Technology
M&A,4/25/2012,GEOI US,GeoResources Inc,HK US,952.56,Cash and Stock,Completed,8/1/2012,20.0000/sh.,Energy
M&A,4/2/2012,SGQ CN,SouthGobi Resources Ltd,2600 HK,951.72,Cash,Terminated,9/3/2012,8.4800/sh.,Energy
M&A,2/4/2014,ATMI US,Entegris Professional Solutions Inc,ENTG US,951.54,Cash,Completed,5/1/2014,34.0000/sh.,Technology
M&A,10/6/2014,PCI ID,Petroceltic International PLC,DGO ID,945.67,Cash,Terminated,12/1/2014,2.3000/sh.,Energy
M&A,5/23/2011,DCH FP,Delachaux SA,,945.1,Cash,Completed,9/8/2011,83.0000/sh.,Industrial
M&A,11/24/2015,BDBD US,Boulder Brands Inc,PF US,944.16,Cash,Completed,1/19/2016,11.0000/sh.,"Consumer, Non-cyclical"
M&A,12/9/2011,BCSI US,Blue Coat Systems Inc,,942.94,Cash,Completed,2/16/2012,25.8100/sh.,Communications
M&A,7/23/2012,PEET US,Peet's Coffee & Tea Inc,1074556D LX,941.19,Cash,Completed,10/31/2012,73.5000/sh.,"Consumer, Non-cyclical"
