Quarter,Date,Time,Unknown,EPS,Est EPS,Date F,Est EPS diff,Est EPS diff percentage,Price,Price Return lag4,t+1 - t,t - t-1,t+1 - t-1,Action ID,Target Ticker,Payment Type,Target Industry Sector,Cash Terms,Return Used,Spread,t+1 - t Price,t+1 - t Spread,t - t-1 Price,t - t-1 Spread,Delta Spread,Delta Spread percentage
2011:Q2,8/4/2011,7:00,-0.3834,-0.39,-0.387,2011-08-04,-0.003,-0.0077519379845,42.71,-0.584112149533,0.0468274408803,-0.186959569993,-0.140219677495,55229637,TBL US,Cash,"Consumer, Cyclical",43.0,-0.186959569993,0.00678997892765,42.73,0.00631874561198,42.79,0.00490768871232,0.00188229021534,0.383539039591
2014:Q3,11/6/2014,6:00,0.5173,0.52,0.252,2014-11-06,0.268,1.06349206349,25.98,0.19305019305,-0.192455735181,0.386398763524,0.193199381762,96065820,TAM US,Cash,Basic Materials,26.0,0.386398763524,0.000769822940724,25.93,0.00269957578095,25.88,0.00463678516229,-0.00386696222156,-0.833974852451
2016:S1,7/22/2016,7:00,12.8718,12.875,13.987,2016-07-22,-1.112,-0.0795023950811,393.9,1.6507608976,0.2030972328,1.5729757607,1.77926766374,107828625,SYNN SW,Cash,Basic Materials,465.0,1.5729757607,0.180502665651,394.7,0.178109956929,387.8,0.199071686436,-0.0185690207851,-0.0932780603688
2015:Q3,10/27/2015,16:10,0.48,0.48,0.463,2015-10-27,0.017,0.036717062635,31.72,-0.313971742543,0.31525851198,-0.314267756128,0.0,110898795,SYA US,Cash,Financial,32.0,0.31525851198,0.00882723833544,31.82,0.00565681961031,31.82,0.00565681961031,-0.00317041872513,-0.359163149861
2010:Q2,7/19/2010,16:05,0.5461,0.66,0.615,2010-07-19,0.045,0.0731707317073,64.85,0.0770534751117,0.169622205089,0.0308499151627,0.200524448558,45271062,SY US,Cash,Technology,65.0,0.169622205089,0.00231303006939,64.96,0.000615763546798,64.83,0.00262224278883,-0.00169726652259,-0.733784893268
2014:Q3,10/15/2014,,0.1579,0.19,0.155,2014-10-15,0.035,0.225806451613,33.28,-0.236896653835,0.210336538462,-2.03120400353,-1.82513982926,87605301,SWY US,Cash,"Consumer, Non-cyclical",34.92,-1.82513982926,0.0492788461538,33.35,0.0470764617691,33.97,0.0279658522225,-0.00220238438473,-0.0446922880023
2014:Q2,7/22/2014,16:18,0.4118,0.23,0.251,2014-07-22,-0.021,-0.0836653386454,34.79,0.575373993096,0.114975567692,-0.0861573808156,0.0287191269385,87605301,SWY US,Cash,"Consumer, Non-cyclical",34.92,0.114975567692,0.00373670594999,34.83,0.00258397932817,34.82,0.00287191269385,-0.00115272662182,-0.308487378255
2014:Q1,4/23/2014,16:03,-0.3277,0.06,0.183,2014-04-23,-0.123,-0.672131147541,34.02,-0.673302107728,0.0,-0.205338809035,-0.205338809035,87605301,SWY US,Cash,"Consumer, Non-cyclical",34.92,0.0,0.026455026455,34.02,0.026455026455,34.09,0.0243473159284,0.0,0.0
2015:Q3,10/29/2015,16:26,0.3607,0.57,0.518,2015-10-29,0.052,0.100386100386,57.92,0.553346014179,0.189917127072,0.0691085003455,0.259156876296,113889496,SWI US,Cash,Technology,60.1,0.189917127072,0.037638121547,58.03,0.0356712045494,57.88,0.0383552176918,-0.00196691699759,-0.0522586387617
2016:Q4,2/16/2017,8:00,0.0584,0.0585,0.076,2017-02-16,-0.0175,-0.230263157895,17.1,0.470035252644,-0.175438596491,0.293255131965,0.117302052786,136666145,SWC US,Cash,Basic Materials,18.0,0.293255131965,0.0526315789474,17.07,0.0544815465729,17.05,0.0557184750733,-0.00308689612595,-0.0554016620499
