Action ID,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
136358903,12/5/2016,DUE AU,DUET Group,,9781.7,Cash,Completed,5/17/2017,3,Utilities
132183396,9/20/2016,DTSI US,DTS Inc/CA,XPER US,877.43,Cash,Completed,12/2/2016,42.5,"Consumer, Cyclical"
68070105,8/26/2012,DTGF US,Dollar Thrifty Automotive Group Inc,HRI US,1236.92,Cash,Completed,11/28/2012,87.5,"Consumer, Non-cyclical"
108250913,6/15/2015,DSKY US,iDreamsky Technology Ltd,,497.4,Cash,Completed,9/8/2016,14,Technology
97066463,10/6/2014,DRTX US,Durata Therapeutics Inc,AGN US,652.03,Cash,Completed,11/18/2014,23,"Consumer, Non-cyclical"
97859898,10/23/2014,DRIV US,Digital River Inc,8210273Z US,574.55,Cash,Completed,2/13/2015,26,Technology
127973862,6/29/2016,DRII US,Diamond Resorts International Inc,APO US,3073.38,Cash,Completed,9/2/2016,30.25,"Consumer, Cyclical"
96392479,9/21/2014,DRC US,Dresser-Rand Group Inc,SIE GR,7640.01,Cash,Completed,7/1/2015,85.2,Energy
53850773,4/20/2011,DPL US,DPL Inc,AES US,4639.58,Cash,Completed,11/28/2011,30,Utilities
48147411,9/12/2010,DPB GR,Deutsche Postbank AG,DBK GR,1532.69,Cash,Completed,11/24/2010,25,Financial
69794281,10/15/2012,DOU GR,Douglas Holding AG,13620Z US,2038.82,Cash,Completed,7/25/2013,38,"Consumer, Cyclical"
71113463,11/26/2012,DOCK NO,Dockwise Ltd,BOKA NA,1459.86,Cash,Completed,5/6/2013,18.5,Industrial
46979020,7/23/2010,DNX LN,Dana Petroleum Ltd,KNOCPZ KS,2787.01,Cash,Completed,10/28/2010,18,Energy
103850397,3/11/2015,DNO LN,Domino Printing Sciences PLC,6448 JP,1477.07,Cash,Completed,6/12/2015,9.15,Technology
50406201,12/13/2010,DNEX US,Dionex Corp,TMO US,2068.14,Cash,Completed,5/18/2011,118.5,Industrial
69496652,10/4/2012,DML AU,Discovery Metals Ltd,,877.64,Cash,Terminated,2/1/2013,1.7,Basic Materials
59839137,12/8/2011,DMAN US,DemandTec Inc,IBM US,411.02,Cash,Completed,2/15/2012,13.2,Technology
49964878,11/25/2010,DLM US,Del Monte Foods Co,,5098.61,Cash,Completed,3/9/2011,19,"Consumer, Non-cyclical"
50242643,12/6/2010,DLAR LN,De La Rue PLC,2273421Z FP,1415.33,Cash,Terminated,1/25/2011,9.05,"Consumer, Non-cyclical"
133043058,12/23/2016,DL NA,Delta Lloyd NV,NN NA,2602.8,Cash,Completed,6/1/2017,5.4,Financial
89774284,4/9/2014,DJS AU,David Jones Pty Ltd,WHL SJ,2009.53,Cash,Completed,8/5/2014,4,"Consumer, Cyclical"
136508106,3/13/2017,DH CN,DH Corp,389272Z US,3431.5,Cash,Completed,6/16/2017,25.5,Technology
104157995,5/21/2015,DGO ID,Dragon Oil PLC,381428Z UH,2840.49,Cash,Completed,9/7/2015,8,Energy
