MMM US,
9/30/2015,205
12/31/2015,207.8
3/31/2016,213.25
6/30/2016,214.5
9/30/2016,225.667
12/31/2016,248.333
3/31/2017,265.333
6/30/2017,276.333
9/30/2017,285.25
,
,
,
,
,
,
,
,
,
,
ALXN US,
3/31/2010,115.929
6/30/2010,125.833
9/30/2010,137.5
12/31/2010,153.813
3/31/2011,165.875
6/30/2011,178.111
9/30/2011,199.438
12/31/2011,221.267
3/31/2012,241
6/30/2012,263.429
9/30/2012,294.2
12/31/2012,316.526
3/31/2013,336.167
6/30/2013,365.053
9/30/2013,395.474
12/31/2013,431.5
3/31/2014,560.667
6/30/2014,510.471
9/30/2014,542.65
12/31/2014,592.2
3/31/2015,591.444
6/30/2015,630.6
9/30/2015,667.067
12/31/2015,702.765
3/31/2016,711.944
6/30/2016,742.882
9/30/2016,786.882
12/31/2016,836
3/31/2017,828.944
6/30/2017,846.588
9/30/2017,864.333
,
,
,
,
,
,
,
,
,
,
ALGN US,
3/31/2010,86.811
6/30/2010,89.543
9/30/2010,94.467
12/31/2010,91.989
3/31/2011,100.656
6/30/2011,113.75
9/30/2011,121.727
12/31/2011,127.417
3/31/2012,128.273
6/30/2012,143.1
9/30/2012,139.778
12/31/2012,134.818
3/31/2013,149.083
6/30/2013,156.077
9/30/2013,158.769
12/31/2013,172.333
3/31/2014,177.417
6/30/2014,185.727
9/30/2014,188.545
12/31/2014,197.4
3/31/2015,191.2
6/30/2015,209.889
9/30/2015,205.2
12/31/2015,226.818
3/31/2016,236
6/30/2016,258.727
9/30/2016,271.333
12/31/2016,292.083
3/31/2017,297.333
6/30/2017,343.583
9/30/2017,359.8
,
,
,
,
,
,
,
,
,
,
ALLE US,
12/31/2013,577
3/31/2014,476
6/30/2014,537.25
9/30/2014,534.714
12/31/2014,562.714
3/31/2015,454.375
6/30/2015,515.875
9/30/2015,533.111
12/31/2015,562.4
3/31/2016,503
6/30/2016,575
9/30/2016,586.909
12/31/2016,572.091
3/31/2017,537.75
6/30/2017,612.375
9/30/2017,623
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
AGN US,
3/31/2010,828.75
6/30/2010,843.769
9/30/2010,880.333
12/31/2010,929.143
3/31/2011,912.467
6/30/2011,997.923
9/30/2011,1095.059
12/31/2011,1541.278
3/31/2012,1471.222
6/30/2012,1348.118
9/30/2012,1267.111
12/31/2012,1734.111
3/31/2013,1965.938
6/30/2013,1983.143
9/30/2013,2031.75
