Quarter,Date,Time,Unknown,EPS,Est EPS,Date F,Est EPS diff,Est EPS diff percentage,Price,Price Return lag2,t+1 - t,t - t-1,t+1 - t-1,Price Return lag3,Price Return lag4,vol,Symbol,Target Industry Sector,Return Used
2017:Q2,7/28/2017,7:42,1.2975,1.42,1.399,2017-07-28,0.021,0.0150107219442,70.44,-2.53729262512,-0.752413401476,-1.79841070682,-2.53729262512,-1.88205771644,-1.42199916353,1.18693705339,ABBV US,Health Care,-1.79841070682
2017:Q1,4/27/2017,7:38,1.1511,1.28,1.262,2017-04-27,0.018,0.0142630744849,66.07,1.38376383764,-0.196761011049,1.58364083641,1.38376383764,2.21402214022,2.44464944649,0.793024969308,ABBV US,Health Care,1.58364083641
2016:Q4,1/27/2017,7:48,1.0869,1.2,1.197,2017-01-27,0.003,0.00250626566416,60.0,-1.37098090419,0.716666666667,-2.07279255753,-1.37098090419,-0.261139219847,-0.620205647136,0.940871943551,ABBV US,Health Care,-2.07279255753
2016:Q3,10/28/2016,7:43,1.109,1.21,1.204,2016-10-28,0.006,0.00498338870432,57.6,-9.24178327367,-3.15972222222,-6.28050764725,-9.24178327367,-8.15164334527,-7.59843800846,2.28479915815,ABBV US,Health Care,-6.28050764725
2016:Q2,7/29/2016,7:38,1.1412,1.26,1.2,2016-07-29,0.06,0.05,66.23,3.43016069221,1.07202174241,2.33312731768,3.43016069221,3.18294190358,2.85846724351,0.78386404434,ABBV US,Health Care,2.33312731768
2016:Q1,4/28/2016,7:21,1.0389,1.15,1.141,2016-04-28,0.009,0.00788781770377,61.2,0.494233937397,-0.326797385621,0.823723228995,0.494233937397,1.21911037891,1.76276771005,0.627229762811,ABBV US,Health Care,0.823723228995
2015:Q4,1/29/2016,7:54,1.059,1.13,1.121,2016-01-29,0.009,0.00802854594112,54.9,-2.61414503133,-0.928961748634,-1.70098478066,-2.61414503133,-3.40196956132,1.77260519248,2.89468988202,ABBV US,Health Care,-1.70098478066
2015:Q3,10/30/2015,6:55,1.0801,1.13,1.081,2015-10-30,0.049,0.04532839963,59.55,17.1534195933,6.43157010915,10.0739371534,17.1534195933,15.3974121996,17.9297597043,5.2388814924,ABBV US,Health Care,10.0739371534
2015:Q2,7/24/2015,7:53,1.0407,1.08,1.061,2015-07-24,0.019,0.0179076343073,68.08,-1.6732841747,1.85076380729,-3.4600113443,-1.6732841747,1.00680657969,0.354509359047,1.23227989301,ABBV US,Health Care,-3.4600113443
2015:Q1,4/23/2015,7:48,0.9092,0.94,0.851,2015-04-23,0.089,0.104582843713,64.25,2.40235585865,2.8326848249,-0.418474891507,2.40235585865,0.77495350279,3.05331680099,1.22957788502,ABBV US,Health Care,-0.418474891507
2014:Q4,1/30/2015,7:47,0.9102,0.89,0.856,2015-01-30,0.034,0.0397196261682,60.35,-3.83396704689,0.579950289975,-4.38846641318,-3.83396704689,-2.3288973384,-9.83840304183,2.06970246742,ABBV US,Health Care,-4.38846641318
2014:Q3,10/31/2014,7:49,0.8522,0.89,0.773,2014-10-31,0.117,0.151358344114,63.46,3.38345864662,-0.330917113142,3.72670807453,3.38345864662,2.41909120628,2.22294867604,1.8173497449,ABBV US,Health Care,3.72670807453
2014:Q2,7/25/2014,7:47,0.7565,0.82,0.759,2014-07-25,0.061,0.0803689064559,53.18,-0.628698224852,1.05302745393,-1.66420118343,-0.628698224852,-1.20192307692,-0.610207100592,1.46383658624,ABBV US,Health Care,-1.66420118343
2014:Q1,4/25/2014,7:54,0.6659,0.71,0.68,2014-04-25,0.03,0.0441176470588,49.14,3.14274128143,3.52055352055,-0.36496350365,3.14274128143,4.15652879157,5.59610705596,1.34135350396,ABBV US,Health Care,-0.36496350365
2013:Q4,1/31/2014,7:47,0.7752,0.82,0.823,2014-01-31,-0.003,-0.00364520048603,49.23,-1.98716621817,-3.8188096689,1.90436762575,-1.98716621817,-0.745187331815,-1.20057959015,1.55840298171,ABBV US,Health Care,1.90436762575
2013:Q3,10/25/2013,7:54,0.7651,0.82,0.776,2013-10-25,0.044,0.0567010309278,49.3,3.10870018777,0.243407707911,2.85833507198,3.10870018777,3.8806592948,1.81514708951,1.4579491862,ABBV US,Health Care,2.85833507198
2013:Q2,7/26/2013,7:53,0.7551,0.82,0.785,2013-07-26,0.035,0.0445859872611,44.79,1.85352622061,0.60281312793,1.24321880651,1.85352622061,1.03978300181,2.80289330922,1.25033808725,ABBV US,Health Care,1.24321880651
2013:Q1,4/26/2013,7:51,0.6181,0.68,0.666,2013-04-26,0.014,0.021021021021,45.84,2.23779385172,-1.33071553229,3.61663652803,2.23779385172,4.09132007233,2.96112115732,2.49162042515,ABBV US,Health Care,3.61663652803
2017:Q4,9/28/2017,6:59,1.4762,1.4125,1.463,2017-09-28,-0.0505,-0.0345181134655,136.32,-1.14900468384,-0.916960093897,-0.234192037471,-1.14900468384,-0.878220140515,-1.74912177986,0.754802430268,ACN US,Information Technology,-0.234192037471
2017:Q3,6/22/2017,6:59,1.5148,1.52,1.522,2017-06-22,-0.002,-0.00131406044678,122.08,-3.4379671151,0.540629095675,-3.9572024231,-3.4379671151,-3.75265518055,-3.8706632051,1.35931281581,ACN US,Information Technology,-3.9572024231
2017:Q2,3/23/2017,6:59,1.3421,1.33,1.299,2017-03-23,0.031,0.0238645111624,120.76,-5.92979127135,-1.47399801259,-4.52245414295,-5.92979127135,-5.60562934851,-4.0559772296,1.66005358279,ACN US,Information Technology,-4.52245414295
2017:Q1,12/21/2016,6:59,1.58,1.58,1.496,2016-12-21,0.084,0.0561497326203,117.9,-5.08460918614,-0.0932994062765,-4.99597099114,-5.08460918614,-5.3344077357,-5.2780016116,1.89731784907,ACN US,Information Technology,-4.99597099114
2016:Q4,9/29/2016,6:59,1.3051,1.31,1.3,2016-09-29,0.01,0.00769230769231,121.64,4.73210458637,0.435711936863,4.27775396485,4.73210458637,3.60908701243,1.36305186455,1.46196148273,ACN US,Information Technology,4.27775396485
2016:Q3,6/23/2016,6:59,1.41,1.41,1.41,2016-06-23,0.0,0.0,118.91,-6.36814248509,-6.27365234211,-0.100814920608,-6.36814248509,-8.18281105604,-7.11585314627,0.796236160637,ACN US,Information Technology,-0.100814920608
2016:Q2,3/24/2016,6:59,1.3267,1.34,1.184,2016-03-24,0.156,0.131756756757,114.3,6.04681404421,-0.113735783027,6.16756455508,6.04681404421,7.05926063533,7.16143414453,1.96387047379,ACN US,Information Technology,6.16756455508
2016:Q1,12/17/2015,6:59,1.28,1.2788,1.317,2015-12-17,-0.0382,-0.0290053151101,103.26,-6.55482214888,-1.28801084641,-5.33553355336,-6.55482214888,-5.58305830583,-4.8771543821,2.35233463479,ACN US,Information Technology,-5.33553355336
2015:Q4,9/24/2015,6:59,1.15,1.1522,1.12,2015-09-24,0.0322,0.02875,97.77,-0.940118536685,-0.848931164979,-0.0919681177192,-0.940118536685,-1.9517678316,-1.28755364807,0.907626852117,ACN US,Information Technology,-0.0919681177192
2015:Q3,6/25/2015,7:01,1.2977,1.3,1.229,2015-06-25,0.071,0.0577705451587,99.48,1.25805461798,-0.482509047045,1.74900276158,1.25805461798,-1.11486140943,-1.01258054618,0.904066635285,ACN US,Information Technology,1.74900276158
2015:Q2,3/26/2015,7:01,1.08,1.08,1.072,2015-03-26,0.008,0.00746268656716,94.17,6.49586214715,-0.244239141977,6.75660355969,6.49586214715,7.04001813853,6.2124475683,2.53782148209,ACN US,Information Technology,6.75660355969
2015:Q1,12/18/2014,7:01,1.29,1.29,1.199,2014-12-18,0.091,0.0758965804837,89.74,6.10785463072,0.858034321373,5.20515826495,6.10785463072,6.89331770223,7.17467760844,2.26257502777,ACN US,Information Technology,5.20515826495
2014:Q4,9/24/2014,7:01,1.08,1.08,1.101,2014-09-24,-0.021,-0.0190735694823,80.2,-0.778894472362,-1.52119700748,0.753768844221,-0.778894472362,-0.389447236181,0.402010050251,0.689199527194,ACN US,Information Technology,0.753768844221
2014:Q3,6/26/2014,7:01,1.26,1.26,1.21,2014-06-26,0.05,0.0413223140496,81.53,-2.05875270889,-0.220777627867,-1.84204189742,-2.05875270889,-2.67276667469,-2.17914760414,0.728624969513,ACN US,Information Technology,-1.84204189742
2014:Q2,3/27/2014,7:01,1.03,1.03,1.036,2014-03-27,-0.006,-0.00579150579151,78.8,-5.01386043148,0.01269035533,-5.0259129806,-5.01386043148,-3.91707846209,-4.13402434615,2.05382349394,ACN US,Information Technology,-5.0259129806
2014:Q1,12/19/2013,7:00,1.1332,1.12,1.092,2013-12-19,0.028,0.025641025641,79.51,6.51943930177,1.30801157087,5.14414176144,6.51943930177,7.84184078286,7.5244644274,1.91132955941,ACN US,Information Technology,5.14414176144
2013:Q4,9/26/2013,16:01,1.0104,1.01,1.006,2013-09-26,0.004,0.00397614314115,75.87,-2.66684182869,-2.34611836035,-0.328428796637,-2.66684182869,-3.25801366264,-3.02154492906,1.26226780242,ACN US,Information Technology,-2.34611836035
2013:Q3,6/27/2013,16:01,1.1405,1.14,1.134,2013-06-27,0.006,0.00529100529101,80.22,-9.5525389643,-10.2966841187,0.829562594268,-9.5525389643,-9.37657114128,-9.35143288084,1.38160311529,ACN US,Information Technology,-10.2966841187
2013:Q2,3/28/2013,7:30,0.977,1.0,0.974,2013-03-28,0.026,0.0266940451745,75.97,1.29540598291,-0.157957088324,1.45566239316,1.29540598291,2.39049145299,2.29700854701,1.42224473502,ACN US,Information Technology,1.45566239316
2013:Q1,12/19/2012,16:01,1.0604,1.06,1.045,2012-12-19,0.015,0.0143540669856,70.4,-2.95275590551,-1.96022727273,-1.01237345332,-2.95275590551,-5.20247469066,-5.87739032621,1.0701479017,ACN US,Information Technology,-1.96022727273
2012:Q4,9/27/2012,16:01,0.8812,0.88,0.878,2012-09-27,0.002,0.00227790432802,65.38,8.82672882673,7.11226674824,1.60062160062,8.82672882673,8.70240870241,9.16860916861,0.838066925685,ACN US,Information Technology,7.11226674824
2012:Q3,6/28/2012,16:01,1.0304,1.03,0.993,2012-06-28,0.037,0.0372608257805,56.63,7.55324861285,6.10983577609,1.36030069805,7.55324861285,8.26919634867,9.34311795239,2.11963200471,ACN US,Information Technology,6.10983577609
2012:Q2,3/22/2012,16:01,0.9703,0.97,0.86,2012-03-22,0.11,0.127906976744,63.52,1.77254901961,2.14105793451,-0.360784313725,1.77254901961,3.3568627451,2.68235294118,0.882953486016,ACN US,Information Technology,2.14105793451
2012:Q1,12/15/2011,16:05,0.9604,0.96,0.94,2011-12-15,0.02,0.0212765957447,56.13,-3.3553453507,-3.52752538749,0.178475816527,-3.3553453507,-4.51543815813,-3.19471711583,2.06207474928,ACN US,Information Technology,-3.52752538749
2011:Q4,9/27/2011,16:00,0.9105,0.91,0.896,2011-09-27,0.014,0.015625,53.65,3.67873651772,0.335507921715,3.33204930663,3.67873651772,4.85362095532,1.46379044684,2.97735380391,ACN US,Information Technology,0.335507921715
2011:Q3,6/23/2011,16:00,0.9958,0.93,0.896,2011-06-23,0.034,0.0379464285714,55.69,3.2036199095,2.38822050637,0.796380090498,3.2036199095,4.59728506787,7.96380090498,1.70971535613,ACN US,Information Technology,2.38822050637
2011:Q2,3/24/2011,16:01,0.7511,0.75,0.714,2011-03-24,0.036,0.0504201680672,51.96,7.14426682455,4.48421862972,2.54588513914,7.14426682455,5.74304322084,7.10479573712,1.67744944557,ACN US,Information Technology,4.48421862972
