Action ID,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
132652066,10/17/2016,1368651D US,Save-A-Lot Inc,ONEX CN,1365,Cash,Completed,12/5/2016,1365.0000 Mln,"Consumer, Non-cyclical"
62409413,3/12/2012,1339658D US,Pacific Capital Bancorp,8306 JP,1513.63,Cash,Completed,12/4/2012,46,Financial
45003425,4/29/2010,1339658D US,Pacific Capital Bancorp,3601589Z US,500,Cash,Completed,8/31/2010,0.2,Financial
45049154,5/4/2010,1330361D US,Interactive Data Corp,,2996.24,Cash,Completed,7/30/2010,33.86,"Consumer, Non-cyclical"
106794714,10/27/2014,1321686D US,Wright Medical Group Inc,WMGI US,1239.73,Stock,Completed,10/2/2015,N/A,"Consumer, Non-cyclical"
58565813,10/19/2011,1313814D CN,Rio Tinto Canada Uranium Corp,RIO LN,575.92,Cash,Completed,1/13/2012,4.7,Basic Materials
57244231,8/26/2011,1313814D CN,Rio Tinto Canada Uranium Corp,CCO CN,565.86,Cash,Terminated,11/29/2011,4.5,Basic Materials
74652130,3/4/2013,1311483D CN,Hecla Quebec Inc,HL US,650.16,Cash or Stock,Completed,6/6/2013,4.75,Basic Materials
72976917,1/14/2013,1311483D CN,Hecla Quebec Inc,1294096D CN,574.28,Cash or Stock,Terminated,3/19/2013,4.65,Basic Materials
61398775,1/6/2012,1311365D HK,International Mining Machinery Holdings Ltd,JOY US,438.34,Cash,Completed,6/11/2012,8.5,Industrial
70688190,11/11/2012,1307218D CN,Brick Ltd/The,LNF CN,741.47,Cash,Completed,4/2/2013,5.4,"Consumer, Cyclical"
101233858,1/9/2015,13 HK,Hutchison Whampoa Ltd,1 HK,41705.25,Stock,Completed,6/3/2015,N/A,Diversified
60313302,12/27/2011,1294243D US,Cogdell Spencer Inc,VTR US,635.49,Cash,Completed,4/3/2012,4.25,Financial
112541889,9/15/2015,1293 HK,Grand Baoxin Auto Group Ltd,600297 CH,2802.19,Cash,Completed,6/21/2016,5.99,"Consumer, Cyclical"
57620423,9/12/2011,1290105D US,Technip USA Inc,TEC FP,1024.33,Cash,Completed,12/2/2011,8,Energy
79517504,7/15/2013,1284913D CN,Shoppers Drug Mart Corp,L CN,13013.65,Cash or Stock,Completed,4/1/2014,61.54,"Consumer, Cyclical"
96492716,11/17/2014,1284849D US,Allergan Inc/United States,AGN US,65024.28,Cash and Stock,Completed,3/17/2015,129.22,"Consumer, Non-cyclical"
90176880,4/22/2014,1284849D US,Allergan Inc/United States,VRX CN,54214.43,Cash and Stock,Terminated,11/19/2014,72,"Consumer, Non-cyclical"
48470774,9/27/2010,1281683D US,Alberto-Culver Co,UNA NA,3701.34,Cash,Completed,5/11/2011,37.5,"Consumer, Non-cyclical"
55508229,6/20/2011,1281485D US,LSM Holdings LLC,CRS US,575.04,Stock,Completed,2/29/2012,N/A,Industrial
44992225,5/3/2010,1281118D US,United Airlines Inc,UAL US,3185.64,Stock,Completed,10/1/2010,N/A,"Consumer, Cyclical"
59988913,12/14/2011,1280712D US,Novellus Systems Inc,LRCX US,2830.91,Stock,Completed,6/5/2012,N/A,Technology
78676601,6/25/2013,1280452D CN,CML HealthCare Inc,0697201D CN,1163.02,Cash,Completed,10/3/2013,10.75,"Consumer, Non-cyclical"
58791686,10/27/2011,1265384D CN,Conversant Intellectual Property Management Inc,535887Z US,445.33,Cash,Completed,12/29/2011,46,Technology
76064392,4/15/2013,1255459D US,Life Technologies Corp,TMO US,15402.34,Cash,Completed,2/4/2014,76.1312,"Consumer, Non-cyclical"
97130057,10/7/2014,1254900D NO,Golden Ocean Group Ltd/Old,GOGL US,1129.12,Stock,Completed,4/1/2015,N/A,Industrial
70701460,11/12/2012,1250355D CN,Queenston Mining Inc,1413620D CN,419.47,Stock,Completed,1/3/2013,N/A,Basic Materials
66423774,7/16/2012,1248911D US,Par Pharmaceutical Cos Inc,,1934.2,Cash,Completed,10/1/2012,50,"Consumer, Non-cyclical"
65912082,6/29/2012,1245147D LN,Allied Gold Mining Ltd,SBM AU,545.17,Cash and Stock,Completed,9/10/2012,1.025,Basic Materials
97426985,10/13/2014,1240716D US,Targa Energy LP,TRGP US,4829.02,Cash and Stock,Completed,3/2/2015,9.12,Energy
72738506,1/7/2013,1236053D US,EnergySolutions Inc,769664Z US,1101.27,Cash,Completed,5/28/2013,4.15,Industrial
66638180,7/23/2012,1235274D US,GenOn Energy Inc,NRG US,4210.09,Stock,Completed,12/17/2012,N/A,Utilities
78469555,6/18/2013,1230 HK,Yashili International Holdings Ltd,2319 HK,1021.81,Cash,Completed,8/13/2013,3.5,"Consumer, Non-cyclical"
67807532,8/17/2012,1218069D LN,Melrose Resources PLC,PCI ID,760.74,Stock,Completed,10/11/2012,N/A,Energy
76960937,5/10/2013,1193 HK,China Resources Gas Group Ltd,836 HK,7065.06,Stock,Terminated,7/22/2013,N/A,Utilities
66515401,7/17/2012,1192 HK,Titan Petrochemicals Group Ltd,IJAIMZ CH,621.97,Cash,Terminated,8/31/2012,0.025,Energy
42658097,1/26/2010,1166879D CN,Quad/Graphics Canada Inc,QUAD US,1144.75,Cash and Stock,Completed,7/6/2010,0.56,"Consumer, Non-cyclical"
63859928,4/30/2012,1086832D US,Sunoco Inc,9876456D US,6786.54,Cash or Stock,Completed,10/5/2012,50,Energy
